Female Name,Member Name,Member Email,Rank,Bull 1,Bull 2,Bull 3,Bull 4,Bull 5,Bull 6
MHPH 36G Unique 208J,Emma,Emma@placeholder.com,1,Hills‐Galore 44Z Rewind 147E,BR 213B Forty Creek 234F,CSC 701 Bolder 901,Lone‐Pine Rebel 45R,Tlell 8N Red Zulu 1Z,CC 77J Sterling 39T
Blair-Athol DJ 223F Nancy 18J,Emma,Emma@placeholder.com,2,JKF 147E Avalanche 1H,SHF Horizon D287 H022,Tlell 8N Red Zulu 1Z,Hills‐Galore 44Z Rewind 147E,Lone‐Pine Rebel 45R,LBH 38E Silver Pride 52N
JAC 94F Sheez Country 7J,Emma,Emma@placeholder.com,3,Hills‐Galore 44Z Rewind 147E,CSC 701 Bolder 901,SHF Horizon D287 H022,Haroldson's Totem 200Z 5D,Lone‐Pine Rebel 45R,AGA 121G Stanmore 20J
LRS 45F Maverick 12J,Libby,Libby@placeholder.com,1,NJW 160B 028X Historic 81E ET,BR 213B Forty Creek 234F,H Dominate 1404 ET,,,
WTB 78X Harmony 5A,Libby,Libby@placeholder.com,2,Hills‐Galore 44Z Rewind 147E,NJW 160B 028X Historic 81E ET,CSC 701 Bolder 901,,,
KLM 22Y Thunderbolt 14C,Libby,Libby@placeholder.com,3,BR 213B Forty Creek 234F,NJW 160B 028X Historic 81E ET,H Dominate 1404 ET,,,
QRP 67Z Serenity 21B,Cole,Cole@placeholder.com,1,Hills‐Galore 44Z Rewind 147E,BR 213B Forty Creek 234F,H Dominate 1404 ET,CSC 701 Bolder 901,Silver 26E Knight 23K,CC 77J Sterling 39T
FHD 88N Eclipse 3P,Cole,Cole@placeholder.com,2,BR 213B Forty Creek 234F,NJW 160B 028X Historic 81E ET,SHF Horizon D287 H022,Tlell 8N Red Zulu 1Z,Silver 26E Knight 23K,Silver Moon 23K 15M
GRC 12R Starlight 27S,Cole,Cole@placeholder.com,3,JKF 147E Avalanche 1H,H Dominate 1404 ET,NJW 73S 38W Rimrock 27C ET,LBH 38E Silver Pride 52N,Silver Moon 23K 15M,Silver 26E Knight 23K
PTK 75P Dakota 6Q,Cole,Cole@placeholder.com,4,KCF Bennett Catalyst H472,H Dominate 1404 ET,BR 213B Forty Creek 234F,Silver Moon 23K 15M,Silver 26E Knight 23K,LBH 38E Silver Pride 52N
VJB 41V Phoenix 10E,Cole,Cole@placeholder.com,5,Hills‐Galore 44Z Rewind 147E,SHF Horizon D287 H022,Tlell 8N Red Zulu 1Z,Silver 26E Knight 23K,Silver Moon 23K 15M,LBH 38E Silver Pride 52N
RSN 63U Jubilee 15F,Fred,Fred@placeholder.com,1,Silver 26E Knight 23K,NJW 160B 028X Historic 81E ET,CSC 701 Bolder 901,Lone‐Pine Rebel 45R,LBH 38E Silver Pride 52N,Tlell 8N Red Zulu 1Z
XLT 53M Midnight 9L,Fred,Fred@placeholder.com,2,Silver 26E Knight 23K,NJW 160B 028X Historic 81E ET,AGA 121G Stanmore 20J,LBH 38E Silver Pride 52N,CSC 701 Bolder 901,Lone‐Pine Rebel 45R
LKTS 42H Charm 305K,Fred,Fred@placeholder.com,3,Silver 26E Knight 23K,NJW 73S 38W Rimrock 27C ET,Haroldson's Totem 200Z 5D,CSC 701 Bolder 901,Lone‐Pine Rebel 45R,Tlell 8N Red Zulu 1Z
QPD 51Z Serenade 309B,Fred,Fred@placeholder.com,4,Silver 26E Knight 23K,H Dominate 1404 ET,AGA 121G Stanmore 20J,Lone‐Pine Rebel 45R,CSC 701 Bolder 901,LBH 38E Silver Pride 52N
GTH 18R Stardust 503S,Ben,Ben@placeholder.com,1,JKF 147E Avalanche 1H,KCF Bennett Catalyst H472,Tlell 8N Red Zulu 1Z,CSC 701 Bolder 901,,
RSN 63U Jubilation 315F,Ben,Ben@placeholder.com,2,Hills‐Galore 44Z Rewind 147E,NJW 160B 028X Historic 81E ET,NJW 73S 38W Rimrock 27C ET,Tlell 8N Red Zulu 1Z,CSC 701 Bolder 901,
NWD 82S Sunrise 333R,Ben,Ben@placeholder.com,3,NJW 73S 38W Rimrock 27C ET,NJW 160B 028X Historic 81E ET,Haroldson's Totem 200Z 5D,KCF Bennett Catalyst H472,RSK 173D Command ET 91H,
BTH 27C Catalyst 426H,Ben,Ben@placeholder.com,4,NJW 73S 38W Rimrock 27C ET,KCF Bennett Catalyst H472,SHF Horizon D287 H022,NJW 160B 028X Historic 81E ET,JKF 147E Avalanche 1H,Hills‐Galore 44Z Rewind 147E
