,,,
Result for,Emma,at,Emma@placeholder.com
Female Name,Bull Name,Number of Straws,Email
MHPH 36G Unique 208J,BR 213B Forty Creek 234F,2,YV@placeholder.com
Blair-Athol DJ 223F Nancy 18J,JKF 147E Avalanche 1H,2,Dallas@placeholder.com
JAC 94F Sheez Country 7J,CSC 701 Bolder 901,2,Semex@placeholder.com
,,,
Result for,Libby,at,Libby@placeholder.com
Female Name,Bull Name,Number of Straws,Email
LRS 45F Maverick 12J,NJW 160B 028X Historic 81E ET,2,Select@placeholder.com
WTB 78X Harmony 5A,CSC 701 Bolder 901,2,Semex@placeholder.com
KLM 22Y Thunderbolt 14C,BR 213B Forty Creek 234F,2,YV@placeholder.com
,,,
Result for,Cole,at,Cole@placeholder.com
Female Name,Bull Name,Number of Straws,Email
QRP 67Z Serenity 21B,Hills‐Galore 44Z Rewind 147E,2,Hills@placeholder.com
FHD 88N Eclipse 3P,BR 213B Forty Creek 234F,2,YV@placeholder.com
GRC 12R Starlight 27S,H Dominate 1404 ET,2,Wyatt@placeholder.com
PTK 75P Dakota 6Q,KCF Bennett Catalyst H472,2,Crittenden@placeholder.com
VJB 41V Phoenix 10E,SHF Horizon D287 H022,2,Crittenden@placeholder.com
,,,
Result for,Fred,at,Fred@placeholder.com
Female Name,Bull Name,Number of Straws,Email
RSN 63U Jubilee 15F,Silver 26E Knight 23K,2,Breton@placeholder.com
XLT 53M Midnight 9L,Silver 26E Knight 23K,2,Breton@placeholder.com
LKTS 42H Charm 305K,Silver 26E Knight 23K,2,Breton@placeholder.com
QPD 51Z Serenade 309B,Silver 26E Knight 23K,2,Breton@placeholder.com
,,,
Result for,Ben,at,Ben@placeholder.com
Female Name,Bull Name,Number of Straws,Email
GTH 18R Stardust 503S,JKF 147E Avalanche 1H,2,Dallas@placeholder.com
RSN 63U Jubilation 315F,NJW 160B 028X Historic 81E ET,2,Select@placeholder.com
NWD 82S Sunrise 333R,NJW 73S 38W Rimrock 27C ET,2,Blair@placeholder.com
BTH 27C Catalyst 426H,NJW 73S 38W Rimrock 27C ET,2,Blair@placeholder.com
